dataset,model,stage,batch_size,comparison,mean_a_mj,mean_b_mj,saving_pct,wilcoxon_p,effect_size_r,significant
HM Ranking,CatBoost,preprocessing,10000,FP32 vs FP64,165.0108,231.5543,28.74,0.0,0.982,YES
HM Ranking,CatBoost,preprocessing,10000,FP16 vs FP64,1117.3008,231.5543,-382.52,0.0,1.0,YES
HM Ranking,CatBoost,preprocessing,10000,BF16 vs FP64,226.9625,231.5543,1.98,0.31233,0.237,NO
HM Ranking,CatBoost,preprocessing,100000,FP32 vs FP64,985.1452,1762.7984,44.11,0.0,1.0,YES
HM Ranking,CatBoost,preprocessing,100000,FP16 vs FP64,9271.5474,1762.7984,-425.96,0.0,1.0,YES
HM Ranking,CatBoost,preprocessing,100000,BF16 vs FP64,1400.8331,1762.7984,20.53,0.0,0.988,YES
HM Ranking,CatBoost,inference,100,FP32 vs FP64,125.0,133.5432,6.4,0.27518,0.255,NO
HM Ranking,CatBoost,inference,100,FP16 vs FP64,123.752,133.5432,7.33,0.57821,0.132,NO
HM Ranking,CatBoost,inference,100,BF16 vs FP64,131.1149,133.5432,1.82,0.47416,0.169,NO
HM Ranking,CatBoost,inference,1000,FP32 vs FP64,188.5731,177.9287,-5.98,0.38098,0.206,NO
HM Ranking,CatBoost,inference,1000,FP16 vs FP64,187.8955,177.9287,-5.6,0.02551,0.508,YES
HM Ranking,CatBoost,inference,1000,BF16 vs FP64,177.3844,177.9287,0.31,0.21999,0.286,NO
HM Ranking,CatBoost,inference,10000,FP32 vs FP64,501.5909,535.2266,6.28,0.19081,0.305,NO
HM Ranking,CatBoost,inference,10000,FP16 vs FP64,636.0612,535.2266,-18.84,0.00022,0.791,YES
HM Ranking,CatBoost,inference,10000,BF16 vs FP64,519.937,535.2266,2.86,0.2521,0.268,NO
HM Ranking,CatBoost,inference,100000,FP32 vs FP64,3867.3513,3498.1635,-10.55,0.47416,0.169,NO
HM Ranking,CatBoost,inference,100000,FP16 vs FP64,3925.2241,3498.1635,-12.21,0.13364,0.348,NO
